,0,1,2,3
Aitos.mid,230.07552204687477,A-,major,155
ff303.mid,66.65073950000031,C,minor,80
Ripple_Field_Stage_Select.mid,59.583166500000075,F,major,216
owenhart.mid,151.66666666666674,C,major,120
T_SecretofStars_DangerousHideout.mid,76.80000000000031,C,minor,100
12-TunnelRhino.mid,103.9149999999988,C,minor,125
SMW2Cave.mid,142.97696000000258,A,minor,94
savage.mid,84.52171800000083,G,major,115
KSS_Halberd_1_V2_2_GM.mid,121.48136000000396,D,major,162
DV_-_Desert_Field.mid,82.32134625000127,E,minor,140
B1L_pnt_selectplayer.mid,35.12117700000013,E,major,165
MMX2BOSSSTAGE.mid,52.08000000000023,B,minor,125
arcana-boss.mid,81.62834830208311,A,major,147
ter35.mid,35.435108000000845,E,minor,104
Saleste_l1_1.mid,101.3332319999973,A,minor,135
SuperSoccerTitles.mid,47.874999999998764,A,minor,240
luf1dead.mid,111.9998879999998,C,major,90
cornboss.mid,82.59250999999878,A,minor,108
mwcinema.mid,114.04230799999765,B-,major,141
31-Credits.mid,260.4640252499988,G,major,140
Freeza_bat.mid,129.69166666666752,D,minor,120
B1L_twin2_area6a.mid,156.00000000000006,F,minor,160
dbz_bat.mid,113.92845749999714,E-,major,126
SD3path.mid,177.32057911457937,D,minor,157
Tales_of_Phantasia-Vigorous_Town.mid,137.59965599999822,G,minor,225
ioggarden.mid,229.3331039999953,A,minor,135
Smk_Ghost_Valley.mid,69.40759200000005,A,minor,100
mmq05.mid,87.09551200000018,B,minor,113
KRA77005.mid,136.26623999999805,C,minor,154
SPOcirc2.mid,114.28544000000088,F,minor,168
MegaManX-SigmaFirstBattle.mid,70.0287181250006,B-,minor,87
supermarioRPGbattlebig.mid,99.9737983749999,B,major,144
HMSummerTheme.mid,39.58758400000025,C,major,97
cecil.mid,124.41163200000064,C,major,136
FE4-Chapter2_v2.mid,116.54378400000039,E,minor,123
dw6_theme.mid,82.32521222916586,C,major,93
smetmoth.mid,114.9471960000009,F#,minor,190
DKC3Pipe.mid,137.733661218749,C#,major,115
FE4-Chapter1.mid,125.98396000000166,A,major,116
FMGH_GunHazard.mid,176.82550464583016,A,minor,76
ff6_ending2.mid,632.6231440937686,B-,major,120
ter43.mid,72.08955600000024,C,major,109
T_Tsubasa3Snes7.mid,170.99182626875404,D,major,170
Grad3fs.mid,101.9375,A-,major,120
B1L_srfx_trackselection.mid,30.810000000000276,G,minor,125
rs3_bt1r.mid,103.87008843750115,B,minor,156
mmx04.mid,55.30943999999965,F,major,138
BLEFConflict.mid,94.34480399999991,C,major,145
mmx307.mid,46.63124799999965,C,minor,190
cttyrano.mid,211.99316946666326,E-,major,182
SD3lscafe.mid,175.52083333333474,D,major,120
bof2fypuding-arrangement.mid,84.38257665429687,D,major,120
18-ShadeManSpecialTheme.mid,144.07971703124767,A,minor,180
rmf-museum_xg.mid,238.66642800000665,C,minor,180
No_Hope.mid,257.125,E-,minor,120
Zelda3_Shop_Theme.mid,62.78666666666666,C#,minor,150
ultima7-intro.mid,63.33327199999979,E,minor,90
